Producto;PrecioProveedor;Imagen
BUZO POLAR XXL;$36.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3406N.webp
BUZO POLAR XL;$36.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3406N.webp
GUANTE CORTO;$15.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3258N.jpg
GUANTE CORTO;$15.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3258C.jpg
SILBATO MULTIFUNCION;$4.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3216.webp
MASCARILLA RCP;$8.500;https://pasteur86.com/wp-content/uploads/2026/06/OP3153.webp
CHALECO TACTICO;$60.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3129N-1.jpg
CHALECO TACTICO;$60.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3129CAMU.webp
CHALECO TACTICO;$60.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3129V.webp
ENCENDEDOR MOSQUETON;$5.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3111.webp
NAVAJA BK SKULL;$9.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7368.webp
NAVAJA BK;$7.500;https://pasteur86.com/wp-content/uploads/2026/06/NF7257.webp
REMERA XL;$15.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3389UCA.jpg
REMERA XXL;$15.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3389UCA.jpg
REMERA XXXL;$15.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3389UCA.jpg
REMERA XXXL;$15.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3389N.jpg
REMERA XXL;$15.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3389N.jpg
REMERA XL;$15.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3389N.jpg
LINTERNA BLANCA;$28.000;https://pasteur86.com/wp-content/uploads/2026/06/EP31552.jpg
LINTERNA ROJA;$28.000;https://pasteur86.com/wp-content/uploads/2026/06/EP31551R.jpg
LINTERNA VERDE;$28.000;https://pasteur86.com/wp-content/uploads/2026/05/EP31550V-1.jpg
POUCH CANANA;$7.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3405A.jpg
POUCH CANANA;$7.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3405N.jpg
LLAVERO EXTENSIBLE;$5.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3218.jpg
CUCHILLO K-BAR;$22.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7074.jpg
CUCHILLO MADERA;$24.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7388.jpg
CUCHILLO RATIO;$14.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7385.jpg
NAVAJA RAPTOR;$30.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7384N.jpg
NAVAJA RAPTOR;$30.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7384B.jpg
CUCHILLO CAMOUFLAGE;$12.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7316.jpg
NAVAJA S&W;$10.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7226.jpg
CUCHILLO LABRADO;$13.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7340.jpg
CUCHILLO CAMOUFLAGE;$12.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7318.jpg
CUCHILLO CAMOUFLAGE;$12.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7317.jpg
NAVAJA BENCH 560BK;$24.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7315.jpg
NAVAJA SLIM;$11.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7305.jpg
NAVAJA WOLF;$11.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7303.jpg
CUCHILLO OUTDOOR;$25.000;https://pasteur86.com/wp-content/uploads/2026/06/nf7277.jpg
NAVAJA BOJIK;$13.000;https://pasteur86.com/wp-content/uploads/2026/06/NF7253.jpg
CUCHILLO PORTLAND;$22.000;https://pasteur86.com/wp-content/uploads/2025/09/NF6420.jpg
CUCHILLO PORTLAND;$22.000;https://pasteur86.com/wp-content/uploads/2025/11/NF6419-1.jpg
CINTURÓN CUCHILLO;$12.000;https://pasteur86.com/wp-content/uploads/2026/05/NF6031.jpg
PECHERA;$20.000;https://pasteur86.com/wp-content/uploads/2026/06/OP3578-1.jpg
CUCHILLO RATIO;$24.000;https://pasteur86.com/wp-content/uploads/2025/09/NF7012-1.jpg
GORRA OPERADOR;$4.500;https://pasteur86.com/wp-content/uploads/2026/06/SP61878MB.jpg
GORRA OPERADOR;$4.500;https://pasteur86.com/wp-content/uploads/2026/06/SP61878W.jpg
GORRA OPERADOR;$4.500;https://pasteur86.com/wp-content/uploads/2026/06/SP61878SF.jpg
GORRA OPERADOR;$4.500;https://pasteur86.com/wp-content/uploads/2025/09/SP61878KR.jpg
GUANTES ANTICORTE;$6.000;https://pasteur86.com/wp-content/uploads/2025/09/SP52571.jpg
CUCHILLO COLD SRK;$22.000;https://pasteur86.com/wp-content/uploads/2026/05/NF7155.jpg
CUCHILLO COLD SRK;$22.000;https://pasteur86.com/wp-content/uploads/2026/05/NF7154.jpg
